burst, startT [s], endT [s], relative startT [s], relative endT [s], cycle period [s], inst burstfreq [Hz], duration [s], dutycycle, interburst interval [s], #spikes , spikefreq in burst [Hz],Time,0 Channel 1
164,464.935708,465.586884,464.935708,465.586884,2.46734,0.405295,0.651176,0.263918,1.816164,38,56.820276,464.93571,12.471871
165,467.403048,468.151716,467.403048,468.151716,2.677852,0.373434,0.748668,0.279578,1.929184,47,61.442455,467.40305,12.477123
166,470.0809,472.051032,470.0809,472.051032,4.252008,0.235183,1.970132,0.463342,2.281876,121,60.909624,470.0809,12.486472
167,474.332908,474.73532,474.332908,474.73532,2.221932,0.450059,0.402412,0.181109,1.81952,25,59.640369,474.33291,12.495422
168,476.55484,477.776588,476.55484,477.776588,3.21072,0.311457,1.221748,0.380522,1.988972,74,59.750456,476.55484,12.500646
169,479.76556,480.181988,479.76556,480.181988,2.189972,0.456627,0.416428,0.190152,1.773544,26,60.034388,479.76556,12.510564
170,481.955532,484.054284,481.955532,484.054284,4.454712,0.224481,2.098752,0.471131,2.35596,139,65.753362,481.95553,12.519167
171,486.410244,486.79816,486.410244,486.79816,2.148684,0.465401,0.387916,0.180537,1.760768,25,61.869064,486.41024,12.52618
172,488.558928,489.22416,488.558928,489.22416,2.623532,0.381166,0.665232,0.253564,1.9583,39,57.122929,488.55893,12.534485
173,491.18246,492.483212,491.18246,492.483212,3.431088,0.291453,1.300752,0.379108,2.130336,81,61.502884,491.18246,12.540935
174,494.613548,495.063544,494.613548,495.063544,2.155232,0.463987,0.449996,0.208792,1.705236,27,57.778291,494.61355,12.551727
175,496.76878,499.202792,496.76878,499.202792,5.087372,0.196565,2.434012,0.478442,2.65336,162,66.145935,496.76878,12.557983
176,501.856152,502.238792,501.856152,502.238792,2.150284,0.465055,0.38264,0.177949,1.767644,26,65.335563,501.85615,12.57782
177,504.006436,504.647796,504.006436,504.647796,2.573232,0.388616,0.64136,0.249243,1.931872,39,59.249096,504.00644,12.585226
178,506.579668,507.58944,506.579668,507.58944,3.019332,0.331199,1.009772,0.334436,2.00956,69,67.341935,506.57967,12.677506
179,509.599,510.018852,509.599,510.018852,2.108192,0.47434,0.419852,0.199153,1.68834,24,54.781209,509.599,12.741206
180,511.707192,514.270036,511.707192,514.270036,5.139496,0.194572,2.562844,0.498657,2.576652,168,65.161984,511.70719,12.814554
181,516.846688,517.224844,516.846688,517.224844,2.17778,0.459183,0.378156,0.173643,1.799624,25,63.465871,516.84669,12.895156
182,519.024468,519.627604,519.024468,519.627604,2.421712,0.412931,0.603136,0.249054,1.818576,39,63.004032,519.02447,12.985212
183,521.44618,522.188544,521.44618,522.188544,2.678052,0.373406,0.742364,0.277203,1.935688,46,60.617164,521.44618,13.062199
184,524.124232,526.999588,524.124232,526.999588,5.386444,0.185651,2.875356,0.533813,2.511088,187,64.687642,524.12423,13.11433
185,529.510676,529.867884,529.510676,529.867884,2.241404,0.446149,0.357208,0.159368,1.884196,21,55.989787,529.51068,13.330078
186,531.75208,532.254464,531.75208,532.254464,2.25764,0.44294,0.502384,0.222526,1.755256,29,55.734259,531.75208,13.348506
187,534.00972,534.810508,534.00972,534.810508,2.814524,0.3553,0.800788,0.28452,2.013736,51,62.438498,534.00972,13.426208
188,536.824244,537.48478,536.824244,537.48478,2.500356,0.399943,0.660536,0.264177,1.83982,40,59.042959,536.82424,13.511898
189,539.3246,541.98326,539.3246,541.98326,5.248552,0.190529,2.65866,0.506551,2.589892,174,65.070374,539.3246,13.5849
190,544.573152,544.922244,544.573152,544.922244,2.212584,0.45196,0.349092,0.157776,1.863492,22,60.156062,544.57315,13.726807
191,546.785736,547.23704,546.785736,547.23704,2.19232,0.456138,0.451304,0.205857,1.741016,28,59.826636,546.78574,13.7779
192,548.978056,549.664624,548.978056,549.664624,2.49896,0.400166,0.686568,0.274741,1.812392,44,62.630359,548.97806,13.823676
193,551.477016,552.2426,551.477016,552.2426,2.668824,0.374697,0.765584,0.286862,1.90324,51,65.30962,551.47702,13.870239
194,554.14584,556.90388,554.14584,556.90388,5.308832,0.188365,2.75804,0.519519,2.550792,179,64.538585,554.14584,13.920593
195,559.454672,559.777328,559.454672,559.777328,2.189932,0.456635,0.322656,0.147336,1.867276,24,71.283348,559.45467,13.964163
196,561.644604,562.11028,561.644604,562.11028,2.244488,0.445536,0.465676,0.207475,1.778812,28,57.980227,561.6446,13.992479
197,563.889092,564.952876,563.889092,564.952876,3.121648,0.320344,1.063784,0.340776,2.057864,66,61.10263,563.88909,14.019928
198,567.01074,567.401032,567.01074,567.401032,1.9887,0.502841,0.390292,0.196255,1.598408,24,58.930237,567.01074,14.049882
199,568.99944,571.70586,568.99944,571.70586,5.384944,0.185703,2.70642,0.50259,2.678524,177,65.030557,568.99944,14.066256
200,574.384384,574.739132,574.384384,574.739132,2.234036,0.44762,0.354748,0.158792,1.879288,25,67.653658,574.38438,14.115906
201,576.61842,577.05698,576.61842,577.05698,2.221008,0.450246,0.43856,0.19746,1.782448,25,54.724553,576.61842,14.131487
202,578.839428,579.685968,578.839428,579.685968,2.821596,0.354409,0.84654,0.300022,1.975056,53,61.426513,578.83943,14.144897
203,581.661024,582.093392,581.661024,582.093392,2.128892,0.469728,0.432368,0.203095,1.696524,28,62.446805,581.66102,14.16032
204,583.789916,585.746936,583.789916,585.746936,4.226688,0.236592,1.95702,0.463015,2.269668,127,64.383604,583.78992,14.169312
205,588.016604,588.384428,588.016604,588.384428,2.131476,0.469158,0.367824,0.172568,1.763652,23,59.811214,588.0166,14.197417
206,590.14808,590.726508,590.14808,590.726508,2.50058,0.399907,0.578428,0.231318,1.922152,37,62.237651,590.14808,14.20159
207,592.64866,595.517528,592.64866,595.517528,5.584548,0.179066,2.868868,0.513715,2.71568,189,65.531074,592.64866,14.215821
208,598.233208,598.558932,598.233208,598.558932,2.162464,0.462435,0.325724,0.150626,1.83674,19,55.26151,598.23321,14.203973
209,600.395672,600.826572,600.395672,600.826572,2.18758,0.457126,0.4309,0.196976,1.75668,24,53.376654,600.39567,14.215804
210,602.583252,603.501088,602.583252,603.501088,2.861088,0.349517,0.917836,0.3208,1.943252,61,65.371156,602.58325,14.224284
